reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,region,polarity,sentiment
a2ce2b39-f52b-4527-81c4-00a1665d0cd9,Ruby Raj,https://play-lh.googleusercontent.com/a-/ALV-UjUCLjuv6JFiofd3jihQ5l7q0p2p3eCbfA6DiPiLsc1GJxYWkYo,Hi I really love this game I really recommend you to try this it is a very good game I hope you love it because of that I rated 5 stars,5,0,1.12.47a,2026-01-28 00:17:56,"Hi Ruby Raj! 🌟 Thank you so much for your wonderful 5-star review! We're thrilled to hear you love TheoTown and recommend it to others. Your support means the world to us. Enjoy building your city! 🏙️ Best wishes, Ava.",2026-01-28 02:10:05,1.12.47a,ID,0.12903225806451613,Positive
eeb1c147-0670-4050-8bf6-15278a771eea,Nadia,https://play-lh.googleusercontent.com/a/ACg8ocIoua2Wx5NBeaVkf48DHQMwmfLRQ2RtppPL6vcvLLQmj75zmw=mo,"Best game city game every its like City Skylines but a Pixel+Mobile+Free version ..SO MANY PLUGINS and the creators of the game and Plugins have done AMAZING JOB (a few bugs but thats fine and dont even ruin the gameplay) i dont know what else to say BUT ITS AMAZINGLY GREAT GAME! also very calm BEFORE A...(Aliens come to say hi,Large bbqs (Fires),People getting a slight fever(i mean its not that much),People playing with Pew Pew's and taking things from people(i mean sharing is caring right😅)",5,0,,2026-01-27 23:57:15,"Hi Nadia! 🌟 We're thrilled to hear you love TheoTown! Our team and plugin creators appreciate your kind words. If you ever encounter any bugs, feel free to let us know. Keep building your dream city! 🏙️ Thank you for the amazing review! 💖

Chloe",2026-01-09 23:20:09,,ID,0.031578947368421054,Positive
22e90e1c-4085-4eb0-bd32-87040627e208,Apsara Karunarathna,https://play-lh.googleusercontent.com/a-/ALV-UjX_wLlFsJ-6YwgcVvQiCFroKHFDLe9UKAfzHhJFXS447tlUwb0,Incredible simulator game.😃 Really Amazing.,5,0,,2026-01-27 23:24:23,"Hi Apsara! 🌟 Thank you for your wonderful words! We're thrilled you enjoy TheoTown. If you ever have ideas or feedback, feel free to share. Happy city building! 🏙️ Ava",2026-01-28 01:10:14,,ID,0.2,Positive
5ee10d99-9c6d-47f3-aea1-eaa32e04023c,Mahan Khaledi,https://play-lh.googleusercontent.com/a/ACg8ocIdhjcOHzSvUx85Wy24GF_iYKyicp_EvdV_GWUuUkP-BcrjuQ=mo,this game is perfect,5,0,,2026-01-27 23:18:07,"Thank you so much, Mahan! 🌟 We're thrilled to hear you think the game is perfect. Your support means the world to us. Enjoy building your dream city! 🏙️ Best wishes, Mia.",2026-01-28 04:00:21,,ID,0.25,Positive
459a3be5-a742-4f87-bced-f2d549964eff,Adam H.,https://play-lh.googleusercontent.com/a-/ALV-UjWdIRbUl6JGm5WMNTqslPbpls4lQ59fhycazxePrLB6KOCzff9Mtw,"Hi Dev 👋, I think I may have found a bug. In my city, there are almost 30K industrial workers, but in the tax menu, it only shows 280 workers (never went up). Is this a bug, or am I doing something wrong? Thankyou...",5,0,,2026-01-27 23:15:20,"Hi Adam 👋, thank you for your detailed feedback! It seems like you might have encountered a bug. Could you please send more information to info@theotown.com? We'll look into it. Your support means a lot to us! 🌟 Mia",2026-01-27 23:30:06,,ID,-0.046511627906976744,Negative
5b297232-f73d-4f9b-b0a9-16db0a1fd9b2,Deepak Gaikwad,https://play-lh.googleusercontent.com/a/ACg8ocIUG3ZHvaLEcotCJon2IC3vkpKfej71za61ovNPH9J2xkFnNA=mo,this is very 👍 game,5,0,1.12.47a,2026-01-27 22:46:12,"Hi Deepak, thank you so much for your thumbs up! 😊 We're thrilled you enjoy TheoTown. If you have any suggestions or feedback, feel free to share. Your support means the world to us! 🌟

Chloe",2026-01-28 00:20:09,1.12.47a,ID,0.0,Neutral
cc0e67d1-cd8e-44a5-a623-7746858842ea,Milianel Yanneli,https://play-lh.googleusercontent.com/a-/ALV-UjUFx11dOfu-s_nneere-Pvu5hPiXAtU3Lh-P1NIvSEoVrkLXpys,i love this game,5,0,1.12.47a,2026-01-27 21:31:33,"Thank you so much, Milianel! 😊 We're thrilled to hear you love TheoTown. Your support means the world to us. If you ever have any suggestions or need assistance, feel free to reach out. Happy building! 🏙️ Best, Mia.",2026-01-27 21:50:08,1.12.47a,ID,0.25,Positive
676a235f-78bd-4d3c-95b2-438a6a48878c,Alvharel Varel,https://play-lh.googleusercontent.com/a-/ALV-UjW2i64Luq2s6INYxdcg7OV12jGHdHsH_IIK_bvdlPopN8At2v2k,good,4,0,1.12.47a,2026-01-27 21:19:05,"Hi Alvharel Varel! 🌟 Thank you for your kind words and support! We're thrilled you're enjoying TheoTown. If you have any suggestions or need help, feel free to let us know. Happy building! 🏗️ Cheers, Ava.",2026-01-28 00:20:25,1.12.47a,ID,1.0,Positive
6050275f-6465-47a3-86b1-3f13f728dcfe,Xyrana Ciraie,https://play-lh.googleusercontent.com/a/ACg8ocLez4boBlMHm425T2QZrAq9C5VTBAO27VxrsOYkVqqUSPSq0A=mo,"THIS GAME IS SO COOL!! its so calming, especially the music, i like it very very much! when i had a bad day, i usually play this game and relaxing. I love it! keep it upp!",5,0,1.12.47a,2026-01-27 20:43:57,"Hi Xyrana! 🌟 Thank you so much for your kind words! We're thrilled to hear that TheoTown brings you relaxation and joy. Your support means the world to us. Keep enjoying the game, and we'll keep working hard to make it even better! 🎮✨ Cheers, Mia.",2026-01-27 20:50:08,1.12.47a,ID,0.027777777777777776,Positive
912da4d7-49c6-4bb5-bd15-40da1631a1b4,Khyle Romheuser Jamerlan,https://play-lh.googleusercontent.com/a/ACg8ocKgGNnx8JtxsnNtOsayGv1TRklkD9_ISkDvyZPZSsW8MxCYf2c=mo,played this game for like 3 years now and it's very good honestly the simplicity is good and the plugins are the best in my opinion it's a very good game overall graphics are not the best but it's fine. I give it 5 stars,5,0,1.12.47a,2026-01-27 20:31:39,"Hi Khyle! 🌟 Thank you so much for your wonderful review! We're thrilled you enjoy TheoTown's simplicity and plugins. Your support over the years means the world to us. If you have any suggestions, feel free to share. Happy building! 🚀 Chloe",2026-01-27 20:40:08,1.12.47a,ID,0.10416666666666667,Positive
